Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
6.042 -269.27 -242.96 -229.49 -281.61
6.062 -251.55 -224.17 -212.65 -266.57
6.083 -251.23 -223.88 -212.59 -266.70
6.103 -270.84 -243.90 -231.25 -283.58
6.123 -274.97 -248.08 -234.00 -285.54
6.143 -266.34 -239.54 -225.80 -278.06
6.163 -240.84 -213.75 -201.12 -254.32
6.183 -269.27 -242.96 -229.49 -281.61
6.188 -251.55 -224.17 -212.65 -266.57
6.192 -251.23 -223.88 -212.59 -266.70
6.196 -270.84 -243.90 -231.25 -283.58
6.200 -274.97 -248.08 -234.00 -285.54
6.204 -266.34 -239.54 -225.80 -278.06
6.208 -240.84 -213.75 -201.12 -254.32
6.213 -255.91 -228.77 -217.50 -271.91
6.217 -274.21 -247.01 -235.83 -288.76
6.221 -284.43 -257.22 -244.57 -296.00
6.225 -254.65 -227.79 -214.96 -267.35
6.229 -246.05 -218.62 -207.27 -261.11
6.233 -255.59 -228.75 -217.44 -271.26
6.238 -261.54 -234.69 -223.29 -275.82
6.242 -290.22 -263.21 -251.39 -303.07
6.246 -286.28 -258.90 -247.28 -299.33
6.250 -264.47 -237.53 -225.64 -278.46
6.254 -232.95 -206.73 -194.06 -246.61
6.258 -257.69 -231.45 -217.71 -270.19
6.263 -276.27 -249.36 -236.19 -287.82
6.267 -266.46 -239.01 -226.62 -279.35
6.271 -259.55 -231.81 -221.37 -275.17
6.275 -256.17 -228.14 -218.76 -271.37
6.279 -278.88 -252.17 -240.12 -292.45
6.283 -274.97 -248.13 -234.43 -285.81
6.287 -262.61 -235.77 -221.95 -273.09
6.292 -243.12 -216.36 -203.67 -257.11
6.296 -246.00 -219.09 -207.25 -262.14
6.300 -276.65 -249.85 -237.64 -290.22
6.304 -313.62 -285.92 -276.04 -326.34
6.308 -280.96 -253.29 -242.67 -294.01
6.312 -249.94 -223.65 -209.97 -263.46
6.317 -237.89 -210.71 -198.51 -252.95
6.321 -265.63 -237.87 -226.74 -278.75
6.325 -286.77 -259.12 -247.52 -297.95
6.329 -263.73 -235.97 -223.65 -276.02
6.333 -256.22 -228.66 -218.06 -271.84
6.337 -284.60 -257.25 -244.73 -295.15
6.342 -261.31 -233.84 -221.98 -273.76
6.346 -248.89 -220.99 -210.08 -262.70
6.350 -260.15 -233.04 -219.99 -272.83
6.354 -298.82 -271.69 -259.53 -311.05
6.358 -315.43 -287.51 -277.14 -328.91
6.362 -284.74 -256.91 -246.52 -298.53
6.366 -241.60 -214.82 -203.76 -257.13
6.370 -215.63 -188.45 -176.82 -230.16
6.374 -268.96 -240.82 -229.51 -280.98
6.378 -297.19 -268.89 -258.10 -309.12
6.382 -290.77 -262.45 -252.42 -304.99
6.386 -318.27 -287.80 -281.05 -334.18
6.390 -255.50 -228.10 -214.38 -267.82
6.394 -238.31 -211.65 -197.16 -249.91
6.398 -287.38 -260.67 -247.97 -299.63
6.402 -291.02 -262.34 -253.94 -306.42
6.407 -273.63 -244.64 -235.19 -288.52
6.411 -253.60 -225.39 -214.00 -267.64
6.415 -276.49 -249.20 -237.76 -290.35
6.419 -306.67 -278.03 -267.48 -318.67
6.423 -260.67 -232.06 -220.63 -272.49
6.427 -243.39 -216.57 -201.52 -254.65
6.431 -249.53 -221.84 -210.89 -264.00
6.435 -277.74 -249.42 -239.92 -292.27
6.439 -292.45 -263.97 -252.62 -304.41
6.443 -258.52 -231.39 -221.06 -272.89
6.447 -263.42 -236.19 -224.93 -278.64
6.451 -255.23 -227.59 -217.19 -271.73
6.455 -270.72 -242.58 -231.92 -284.29
6.459 -322.13 -293.34 -282.95 -333.33
6.463 -273.54 -244.39 -233.11 -284.47
6.468 -242.29 -214.67 -202.04 -254.85
6.472 -253.49 -226.22 -216.68 -271.26
6.476 -283.02 -255.19 -244.35 -296.83
6.480 -294.28 -266.12 -254.50 -304.92
6.484 -303.02 -273.54 -265.58 -317.53
6.488 -322.13 -293.34 -282.95 -333.33
6.492 -273.54 -244.39 -233.11 -284.47
6.496 -242.29 -214.67 -202.04 -254.85
6.500 -253.49 -226.22 -216.68 -271.26
6.504 -283.02 -255.19 -244.35 -296.83
6.508 -294.28 -266.12 -254.50 -304.92
6.512 -303.02 -273.54 -265.58 -317.53
6.516 -258.25 -229.15 -221.08 -274.46
6.520 -205.64 -178.61 -165.25 -219.09
6.524 -276.54 -249.04 -236.84 -289.43
6.528 -281.97 -252.89 -243.57 -294.64
6.532 -314.22 -285.99 -274.61 -326.49
6.537 -275.42 -246.72 -236.79 -290.62
6.541 -226.36 -197.23 -187.91 -241.76
6.545 -255.10 -226.02 -216.07 -268.24
6.549 -302.11 -274.41 -262.43 -313.51
6.553 -304.18 -275.42 -266.30 -318.94
6.557 -293.34 -264.33 -256.51 -308.83
6.561 -270.34 -240.64 -232.93 -285.81
6.565 -225.31 -198.33 -185.39 -235.77
6.569 -288.54 -259.88 -247.79 -298.80
6.573 -281.94 -253.45 -242.90 -294.86
6.577 -299.98 -270.32 -261.65 -315.14
6.581 -251.77 -220.97 -215.36 -268.36
6.585 -254.30 -226.20 -216.88 -269.07
6.589 -297.52 -270.25 -256.67 -307.47
