Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
4.282 86247.87 75965.35 78177.95 92043.05 84755.54 65180.93 46663.25 50378.46 58828.52 58468.97 3677.91 620.13 95.98 1841.96
4.290 86257.82 75975.75 78189.60 92055.39 84768.59 65194.09 46678.24 50394.29 58848.19 58488.35 3695.97 637.02 111.13 1856.16
4.299 86270.49 75988.96 78203.28 92069.00 84782.51 65207.84 46692.32 50408.95 58860.84 58502.23 3709.99 650.93 127.00 1872.25
4.307 86258.82 75976.31 78190.20 92054.21 84766.80 65191.19 46674.94 50390.29 58865.17 58506.34 3713.25 654.59 129.89 1875.67
4.315 86241.72 75959.56 78173.01 92037.67 84749.81 65173.37 46657.63 50372.58 58825.88 58466.98 3673.51 614.43 89.97 1836.06
4.324 86262.15 75979.90 78193.93 92058.36 84770.76 65194.14 46678.89 50394.44 58852.17 58494.14 3699.79 639.89 115.92 1860.69
4.332 86265.37 75982.97 78196.46 92060.35 84772.54 65194.90 46680.48 50395.85 58848.28 58490.25 3696.49 637.20 115.02 1861.61
4.340 86252.32 75970.32 78183.94 92048.48 84760.72 65182.74 46669.01 50384.25 58858.78 58499.70 3703.46 642.57 117.93 1863.13
4.349 86245.97 75964.48 78175.72 92038.67 84750.80 65171.63 46659.07 50373.61 58851.14 58495.41 3698.54 637.14 116.05 1862.79
4.357 86257.48 75975.03 78186.31 92048.78 84760.21 65181.17 46668.36 50382.33 58819.76 58464.09 3666.76 605.67 84.91 1831.88
